"modelo","variable_dependiente","term","estimate","std.error","p.value","signif","ci_lo","ci_hi","ic95"
"Principal","idx_vio_control","periodopost:indigeneousindi:cerca_conflictocerca",0.908,0.335,0.0068,"**",0.251279134532165,1.56565962519744,"[0.251, 1.566]"
"Principal","idx_vio_resguardo","periodopost:indigeneousindi:cerca_conflictocerca",0.954,0.355,0.0072,"**",0.258818211583215,1.64863963640484,"[0.259, 1.649]"
"PSM matched","idx_vio_control","periodopost:indigeneousindi:cerca_conflictocerca",0.594,0.664,0.3722,"",-0.707690227651858,1.89558153917559,"[-0.708, 1.896]"
"PSM matched","idx_vio_resguardo","periodopost:indigeneousindi:cerca_conflictocerca",0.517,0.585,0.378,"",-0.62978160144916,1.66308043424662,"[-0.63, 1.663]"
"IPW original","idx_vio_control","periodopost:indigeneousindi:cerca_conflictocerca",1.469,0.244,0,"***",0.989973967482791,1.94802998172247,"[0.99, 1.948]"
"IPW original","idx_vio_resguardo","periodopost:indigeneousindi:cerca_conflictocerca",0.637,0.283,0.0247,"*",0.0815907050139999,1.19244099462816,"[0.082, 1.192]"
"IPW trim 1–99%","idx_vio_control","periodopost:indigeneousindi:cerca_conflictocerca",1.433,0.253,0,"***",0.936643089258012,1.92960585165418,"[0.937, 1.93]"
"IPW trim 1–99%","idx_vio_resguardo","periodopost:indigeneousindi:cerca_conflictocerca",1.461,0.276,0,"***",0.921095837696343,2.00181046199194,"[0.921, 2.002]"
"IPW trim 5–95%","idx_vio_control","periodopost:indigeneousindi:cerca_conflictocerca",1.467,0.272,0,"***",0.934519048563411,1.99910713510821,"[0.935, 1.999]"
"IPW trim 5–95%","idx_vio_resguardo","periodopost:indigeneousindi:cerca_conflictocerca",1.593,0.292,0,"***",1.02054962740234,2.16559638360402,"[1.021, 2.166]"
"Placebo ola 1–2","idx_vio_control","periodo_placebopost_placebo:indigeneousindi:cerca_conflictocerca",-0.196,0.308,0.5256,"",-0.799995585290289,0.408538494914631,"[-0.8, 0.409]"
"Placebo ola 1–2","idx_vio_resguardo","periodo_placebopost_placebo:indigeneousindi:cerca_conflictocerca",-0.032,0.328,0.9228,"",-0.675650667896387,0.611943847556808,"[-0.676, 0.612]"
"Ítem: Carabineros (d3_1)","vio_ctrl_carb","periodopost:indigeneousindi:cerca_conflictocerca",0.862,0.404,0.0331,"*",0.0697948652471904,1.65442669837227,"[0.07, 1.654]"
"Ítem: Agricultores armados (d3_2)","vio_ctrl_agric","periodopost:indigeneousindi:cerca_conflictocerca",0.967,0.361,0.0075,"**",0.259464710107512,1.67481956893495,"[0.259, 1.675]"
"Ítem: Tomas de terrenos (d4_2)","vio_camb_tierras","periodopost:indigeneousindi:cerca_conflictocerca",1.069,0.434,0.0139,"*",0.217550971004335,1.91957356845674,"[0.218, 1.92]"
"Ítem: Cortes de caminos (d4_3)","vio_camb_cortes","periodopost:indigeneousindi:cerca_conflictocerca",0.841,0.384,0.0285,"*",0.0892281978936071,1.59318795498074,"[0.089, 1.593]"
