"modelo","variable_dependiente","term","estimate","std.error","p.value","signif","ci_lo","ci_hi","ic95"
"C — DiD estallido","idx_vio_control","periodoestallido:indigeneousindi:cerca_conflictocerca",0.063,0.369,0.8655,"",-0.66153738380425,0.786727083286786,"[-0.662, 0.787]"
"C — DiD decreto","idx_vio_control","periododecreto:indigeneousindi:cerca_conflictocerca",0.476,0.435,0.2735,"",-0.375829807283295,1.32823067538083,"[-0.376, 1.328]"
"C — DiD estallido","idx_vio_resguardo","periodoestallido:indigeneousindi:cerca_conflictocerca",-0.09,0.331,0.7863,"",-0.73877544019643,0.559169958065453,"[-0.739, 0.559]"
"C — DiD decreto","idx_vio_resguardo","periododecreto:indigeneousindi:cerca_conflictocerca",0.822,0.389,0.0349,"*",0.0590312649877193,1.58484960316375,"[0.059, 1.585]"
"A — Estallido (2→3)","idx_vio_control","T1_estallido:indigeneousindi:cerca_conflictocerca",0.076,0.371,0.8387,"",-0.651423120006429,0.802497149543127,"[-0.651, 0.802]"
"A — Estallido (2→3)","idx_vio_resguardo","T1_estallido:indigeneousindi:cerca_conflictocerca",-0.108,0.335,0.746,"",-0.764165986965158,0.547363777596028,"[-0.764, 0.547]"
"B — Decreto (3→4)","idx_vio_control","T2_decreto:indigeneousindi:cerca_conflictocerca",0.3,0.388,0.4403,"",-0.461105340256648,1.0603426463824,"[-0.461, 1.06]"
"B — Decreto (3→4)","idx_vio_resguardo","T2_decreto:indigeneousindi:cerca_conflictocerca",0.864,0.348,0.0131,"*",0.182514051380209,1.54535630069048,"[0.183, 1.545]"
"PSM","idx_vio_control","periododecreto:indigeneousindi:cerca_conflictocerca",0.782,0.563,0.1651,"",-0.320775927218861,1.88495186535701,"[-0.321, 1.885]"
"PSM","idx_vio_resguardo","periododecreto:indigeneousindi:cerca_conflictocerca",0.717,0.462,0.1216,"",-0.189423821506995,1.62353387515487,"[-0.189, 1.624]"
"IPW original","idx_vio_control","periododecreto:indigeneousindi:cerca_conflictocerca",0.699,0.326,0.0345,"*",0.0597119993651896,1.33792704181696,"[0.06, 1.338]"
