folio,ola,urbano_rural,mujer,indi,edad,d1_1,c5,d5_1,d6_1,c13,d3_1_red,d3_2_red,d4_2_red,d4_3_red,time4
110100108,1,1,Mujer,no_indi,55_64,4,4,3,3,1,2,1,1,1,1
110100108,2,1,Mujer,no_indi,65+,4,5,3,3,1,2,1,2,1,2
110100108,3,1,Mujer,no_indi,65+,5,4,5,1,2,1,1,1,1,3
110100108,4,1,Mujer,no_indi,65+,3,4,4,3,3,1,1,1,1,4
110100109,1,1,Mujer,indi,18_24,5,4,1,5,4,1,1,2,2,1
110100109,2,1,Mujer,indi,18_24,4,4,2,4,3,1,1,1,2,2
110100109,3,1,Mujer,indi,18_24,5,5,2,4,3,1,1,1,1,3
110100109,4,1,Mujer,indi,25_34,5,2,2,4,3,1,1,1,1,4
110100201,1,1,Hombre,indi,45_54,4,4,2,5,5,1,1,2,2,1
110100201,2,1,Hombre,indi,45_54,4,4,2,4,4,1,1,2,1,2
110100201,3,1,Hombre,indi,55_64,5,5,4,5,4,1,1,2,1,3
110100201,4,1,Hombre,indi,55_64,5,5,4,5,5,1,1,2,1,4
110100205,1,1,Hombre,no_indi,18_24,5,4,3,3,4,1,1,2,2,1
110100205,2,1,Hombre,no_indi,25_34,1,3,3,4,2,1,1,2,2,2
110100205,3,1,Hombre,no_indi,25_34,5,4,3,4,3,1,1,2,1,3
110100205,4,1,Hombre,no_indi,25_34,5,4,3,4,3,1,1,2,1,4
110100207,1,1,Mujer,indi,55_64,4,4,2,4,3,1,1,2,1,1
110100207,2,1,Mujer,indi,65+,4,4,4,4,3,1,1,1,1,2
110100207,3,1,Mujer,indi,65+,4,4,4,4,4,2,2,2,1,3
110100207,4,1,Mujer,indi,65+,3,4,4,3,3,2,1,1,1,4
110100210,1,1,Mujer,no_indi,65+,4,3,3,3,3,1,1,1,1,1
110100210,2,1,Mujer,no_indi,65+,2,2,3,2,3,1,1,1,1,2
110100210,3,1,Mujer,indi,65+,4,3,3,3,3,2,1,1,1,3
110100210,4,1,Mujer,no_indi,65+,2,4,4,2,3,2,2,1,1,4
110100401,1,1,Mujer,indi,25_34,5,5,2,4,4,1,1,1,1,1
110100401,2,1,Mujer,indi,25_34,3,2,2,4,4,1,1,1,1,2
110100401,3,1,Mujer,indi,25_34,4,5,1,4,4,1,1,1,1,3
110100401,4,1,Mujer,no_indi,25_34,2,4,3,4,2,2,2,1,1,4
110100402,1,1,Mujer,no_indi,55_64,5,4,2,4,3,1,1,1,1,1
110100402,2,1,Mujer,no_indi,65+,3,3,2,4,3,1,1,1,1,2
110100402,3,1,Mujer,indi,65+,5,2,1,5,3,2,2,1,2,3
110100402,4,1,Mujer,indi,65+,4,4,2,4,2,1,1,1,1,4
110100403,1,1,Mujer,indi,55_64,5,5,2,4,3,1,1,1,1,1
