response_category,class,item,probability,probability_pct
0,1,1,0.9135472122661411,91.4
1,1,1,0.08645278773385892,8.6
0,2,1,0.05952875030943984,6
1,2,1,0.9404712496905602,94
0,3,1,0.7836788645979214,78.4
1,3,1,0.2163211354020786,21.6
0,4,1,0.013508983527568448,1.4
1,4,1,0.9864910164724316,98.6
0,1,2,0.9863041168873354,98.6
1,1,2,0.013695883112664632,1.4
0,2,2,0.5068954713608941,50.7
1,2,2,0.493104528639106,49.3
0,3,2,0.9072436113307981,90.7
1,3,2,0.09275638866920188,9.3
0,4,2,0.11778440842832988,11.8
1,4,2,0.8822155915716702,88.2
0,1,3,0.9340772398084544,93.4
1,1,3,0.06592276019154569,6.6
0,2,3,0.8265365787991001,82.7
1,2,3,0.1734634212008998,17.3
0,3,3,0.1102547691644754,11
1,3,3,0.8897452308355247,89
0,4,3,0.025868564999875908,2.6
1,4,3,0.9741314350001241,97.4
0,1,4,0.9650651840028912,96.5
1,1,4,0.03493481599710882,3.5
0,2,4,0.923819482729451,92.4
1,2,4,0.07618051727054902,7.6
0,3,4,0.39362315613464066,39.4
1,3,4,0.6063768438653594,60.6
0,4,4,0.08637077698571238,8.6
1,4,4,0.9136292230142876,91.4
