term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo
intercept,intercept,1,2016,2016_2018,2,Clase 2 vs Clase 1,-0.9632,0.7762,-1.241,0.2146,0.3817,0.0834,1.7473,FALSE,negativo
intercept,intercept,1,2016,2016_2018,3,Clase 3 vs Clase 1,-2.6609,0.9473,-2.8088,0.005,0.0699,0.0109,0.4475,TRUE,negativo
intercept,intercept,1,2016,2016_2018,4,Clase 4 vs Clase 1,-5.1146,0.9693,-5.2765,0,0.006,9e-4,0.0402,TRUE,negativo
urbano_rural,Zona urbana,1,2016,2016_2018,2,Clase 2 vs Clase 1,-0.4853,0.2874,-1.6888,0.0913,0.6155,0.3504,1.081,FALSE,negativo
urbano_rural,Zona urbana,1,2016,2016_2018,3,Clase 3 vs Clase 1,-0.5971,0.3427,-1.7427,0.0814,0.5504,0.2812,1.0773,FALSE,negativo
urbano_rural,Zona urbana,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.4609,0.2815,1.6372,0.1016,1.5854,0.9131,2.7527,FALSE,positivo
mujerMujer,Mujer,1,2016,2016_2018,2,Clase 2 vs Clase 1,0.021,0.2259,0.093,0.9259,1.0212,0.6559,1.59,FALSE,positivo
mujerMujer,Mujer,1,2016,2016_2018,3,Clase 3 vs Clase 1,0.1469,0.2402,0.6114,0.5409,1.1582,0.7233,1.8547,FALSE,positivo
mujerMujer,Mujer,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.3997,0.2741,1.4581,0.1448,1.4913,0.8715,2.5521,FALSE,positivo
indiindi,Identidad indígena,1,2016,2016_2018,2,Clase 2 vs Clase 1,-0.0906,0.2245,-0.4036,0.6865,0.9134,0.5883,1.4181,FALSE,negativo
indiindi,Identidad indígena,1,2016,2016_2018,3,Clase 3 vs Clase 1,0.0457,0.2412,0.1894,0.8498,1.0467,0.6524,1.6795,FALSE,positivo
indiindi,Identidad indígena,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.5966,0.2854,2.0908,0.0366,1.816,1.038,3.1771,TRUE,positivo
edad.L,Edad,1,2016,2016_2018,2,Clase 2 vs Clase 1,0.3987,0.3588,1.1112,0.2665,1.4899,0.73740000000000006,3.0102,FALSE,positivo
edad.L,Edad,1,2016,2016_2018,3,Clase 3 vs Clase 1,0.1486,0.4386,0.3387,0.7348,1.1602,0.4911,2.7409,FALSE,positivo
edad.L,Edad,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.414,0.4536,0.9128,0.3614,1.5129,0.6219,3.6805,FALSE,positivo
edad.Q,Edad,1,2016,2016_2018,2,Clase 2 vs Clase 1,-0.0352,0.3417,-0.1029,0.918,0.9654,0.4942,1.886,FALSE,negativo
