term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo,interpretacion
intercept,intercept,1,2016,2016_2018,3,Clase 3 vs Clase 1,-2.6609,0.9473,-2.8088,0.005,0.0699,0.0109,0.4475,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
intercept,intercept,1,2016,2016_2018,4,Clase 4 vs Clase 1,-5.1146,0.9693,-5.2765,0,0.006,9e-4,0.0402,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
indiindi,Identidad indígena,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.5966,0.2854,2.0908,0.0366,1.816,1.038,3.1771,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad^4,Edad,1,2016,2016_2018,2,Clase 2 vs Clase 1,0.689,0.2714,2.5387,0.0111,1.9917,1.1701,3.3904,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
edad^4,Edad,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.858,0.3277,2.6183,0.0088,2.3583,1.2407,4.4826,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d1_1,Percepción de conflicto,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.4979,0.1453,3.4263,6e-4,1.6453,1.2375,2.1875,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
c5,Confianza en pueblos originarios,1,2016,2016_2018,2,Clase 2 vs Clase 1,-0.2608,0.1141,-2.2858,0.0223,0.7704,0.616,0.9635,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
c5,Confianza en pueblos originarios,1,2016,2016_2018,4,Clase 4 vs Clase 1,-0.4379,0.1274,-3.4387,6e-4,0.6454,0.5028,0.8283,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d5_1,Justicia procedimental,1,2016,2016_2018,2,Clase 2 vs Clase 1,0.7396,0.1073,6.8956,0,2.0952,1.6979,2.5853,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d5_1,Justicia procedimental,1,2016,2016_2018,3,Clase 3 vs Clase 1,-0.227,0.1108,-2.0485,0.0405,0.7969,0.6413,0.9902,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d5_1,Justicia procedimental,1,2016,2016_2018,4,Clase 4 vs Clase 1,0.6374,0.1131,5.6339,0,1.8915,1.5153,2.3611,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d6_1,Identificación con la causa,1,2016,2016_2018,2,Clase 2 vs Clase 1,-0.2808,0.1015,-2.7669,0.0057,0.7552,0.6189,0.9214,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d6_1,Identificación con la causa,1,2016,2016_2018,3,Clase 3 vs Clase 1,0.433,0.1292,3.3515,8e-4,1.5419,1.197,1.9862,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
intercept,intercept,2,2018,2018_2021,4,Clase 4 vs Clase 1,-6.3129,1.2665,-4.9844,0,0.0018,2e-4,0.0217,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
edad.L,Edad,2,2018,2018_2021,3,Clase 3 vs Clase 1,-1.0842,0.5171,-2.0965,0.036,0.3382,0.1227,0.9318,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
c5,Confianza en pueblos originarios,2,2018,2018_2021,2,Clase 2 vs Clase 1,0.5107,0.1426,3.5821,3e-4,1.6665,1.2602,2.2037,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
c5,Confianza en pueblos originarios,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.4332,0.1869,2.3174,0.0205,1.5422,1.0691,2.2246,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d5_1,Justicia procedimental,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.5552,0.1299,-4.2752,0,0.574,0.445,0.7403,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d5_1,Justicia procedimental,2,2018,2018_2021,3,Clase 3 vs Clase 1,-1.2866,0.21560000000000001,-5.9664,0,0.2762,0.181,0.4215,TRUE,negativo,Asociado con menor probabilidad relativa de transición.
d5_1,Justicia procedimental,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.4554,0.1897,2.4,0.0164,1.5768,1.0871,2.287,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d6_1,Identificación con la causa,2,2018,2018_2021,2,Clase 2 vs Clase 1,0.2863,0.1153,2.4827,0.013,1.3315,1.0621,1.6692,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
d6_1,Identificación con la causa,2,2018,2018_2021,3,Clase 3 vs Clase 1,1.1509,0.2684,4.2878,0,3.1611,1.8679,5.3495,TRUE,positivo,Asociado con mayor probabilidad relativa de transición.
