from,to,probability,period,probability_pct,from_wave,to_wave
1,1,0.43178426979024415,promedio,43.178426979024415,NA,NA
1,2,0.24060828205091003,promedio,24.060828205091003,NA,NA
1,3,0.20060348927795288,promedio,20.06034892779529,NA,NA
1,4,0.12700395888089291,promedio,12.700395888089291,NA,NA
2,1,0.2658669798347262,promedio,26.586697983472618,NA,NA
2,2,0.3776754346665006,promedio,37.76754346665006,NA,NA
2,3,0.22205757205268015,promedio,22.205757205268014,NA,NA
2,4,0.134400013446093,promedio,13.440001344609302,NA,NA
3,1,0.2928370899299774,promedio,29.28370899299774,NA,NA
3,2,0.20461665969377774,promedio,20.461665969377773,NA,NA
3,3,0.37981350208828385,promedio,37.98135020882839,NA,NA
3,4,0.12273274828796099,promedio,12.273274828796099,NA,NA
4,1,0.24209066005038227,promedio,24.209066005038228,NA,NA
4,2,0.2620868315106553,promedio,26.208683151065532,NA,NA
4,3,0.2539262670242349,promedio,25.392626702423488,NA,NA
4,4,0.24189624141472757,promedio,24.189624141472756,NA,NA
1,1,0.4551048711502308,2016_2018,45.51048711502308,2016,2018
1,2,0.2412618349165787,2016_2018,24.12618349165787,2016,2018
1,3,0.19899808286105633,2016_2018,19.899808286105632,2016,2018
1,4,0.10463521107213418,2016_2018,10.463521107213419,2016,2018
2,1,0.2669251759393402,2016_2018,26.692517593934017,2016,2018
2,2,0.3886767161128705,2016_2018,38.86767161128705,2016,2018
2,3,0.22788944378698178,2016_2018,22.78894437869818,2016,2018
2,4,0.11650866416080752,2016_2018,11.650866416080753,2016,2018
3,1,0.3321432503981037,2016_2018,33.21432503981037,2016,2018
3,2,0.1927761427333145,2016_2018,19.27761427333145,2016,2018
3,3,0.37017947972382065,2016_2018,37.01794797238207,2016,2018
3,4,0.1049011271447612,2016_2018,10.49011271447612,2016,2018
4,1,0.2662738034277295,2016_2018,26.62738034277295,2016,2018
4,2,0.2814464016725662,2016_2018,28.144640167256618,2016,2018
4,3,0.2459416860336091,2016_2018,24.59416860336091,2016,2018
4,4,0.2063381088660952,2016_2018,20.63381088660952,2016,2018
1,1,0.4430784385857688,2018_2021,44.30784385857688,2018,2021
1,2,0.20913707455367245,2018_2021,20.913707455367245,2018,2021
1,3,0.22706681888988578,2018_2021,22.706681888988577,2018,2021
1,4,0.12071766797067299,2018_2021,12.0717667970673,2018,2021
2,1,0.2775452299179977,2018_2021,27.754522991799767,2018,2021
2,2,0.3551778609646391,2018_2021,35.51778609646391,2018,2021
2,3,0.26001946950093097,2018_2021,26.001946950093096,2018,2021
2,4,0.10725743961643226,2018_2021,10.725743961643227,2018,2021
3,1,0.27837507098817005,2018_2021,27.837507098817007,2018,2021
3,2,0.172736479635048,2018_2021,17.2736479635048,2018,2021
3,3,0.44593951885017213,2018_2021,44.59395188501721,2018,2021
3,4,0.10294893052660986,2018_2021,10.294893052660987,2018,2021
4,1,0.24216993029434103,2018_2021,24.216993029434104,2018,2021
4,2,0.23117650780268018,2018_2021,23.11765078026802,2018,2021
4,3,0.29644856540290077,2018_2021,29.64485654029008,2018,2021
4,4,0.23020499650007806,2018_2021,23.020499650007807,2018,2021
1,1,0.397169499634733,2021_2023,39.716949963473304,2021,2023
1,2,0.2714259366824789,2021_2023,27.142593668247887,2021,2023
1,3,0.17574556608291647,2021_2023,17.574556608291648,2021,2023
1,4,0.15565899759987162,2021_2023,15.565899759987161,2021,2023
2,1,0.25313053364684074,2021_2023,25.313053364684073,2021,2023
2,2,0.38917172692199226,2021_2023,38.91717269219922,2021,2023
2,3,0.17826380287012772,2021_2023,17.82638028701277,2021,2023
2,4,0.17943393656103926,2021_2023,17.943393656103925,2021,2023
3,1,0.26799294840365856,2021_2023,26.799294840365857,2021,2023
3,2,0.24833735671297066,2021_2023,24.833735671297067,2021,2023
3,3,0.3233215076908589,2021_2023,32.332150769085885,2021,2023
3,4,0.1603481871925119,2021_2023,16.03481871925119,2021,2023
4,1,0.21782824642907622,2021_2023,21.782824642907624,2021,2023
4,2,0.27363758505671965,2021_2023,27.363758505671964,2021,2023
4,3,0.2193885496361947,2021_2023,21.93885496361947,2021,2023
4,4,0.28914561887800944,2021_2023,28.914561887800943,2021,2023
